Season;Competition;Matchday;Date;Venue;Club;Opponent;Result;Playing_Position;Minute;At_score;Type;Goal_assist
04-mai;LaLiga;34;05/01/2005;H;FC Barcelona;Albacete Balompie;02:00;CF;90+1;02:00;Left-footed shot;Ronaldinho Gaacho
05-juin;UEFA Champions League;Group Stage;11/02/2005;H;FC Barcelona;Panathinaikos Athens;05:00;RW;34;03:00;Left-footed shot;
05-juin;LaLiga;13;11/27/05;H;FC Barcelona;Racing Santander;04:01;RW;51;02:00;Left-footed shot;Samuel Etoo
05-juin;LaLiga;19;1/15/06;H;FC Barcelona;Athletic Bilbao;02:01;RW;50;02:01;Left-footed shot;Mark van Bommel
05-juin;LaLiga;20;1/22/06;H;FC Barcelona;Deportivo Alaves;02:00;CF;82;02:00;Left-footed shot;Ronaldinho Gaacho
05-juin;LaLiga;21;1/29/06;A;FC Barcelona;RCD Mallorca;00:03;CF;75;00:02;Right-footed shot;Sylvinho
05-juin;LaLiga;21;1/29/06;A;FC Barcelona;RCD Mallorca;00:03;CF;83;00:03;Left-footed shot;Ronaldinho Gaacho
05-juin;Copa del Rey;Quarter-Finals;02/01/2006;H;FC Barcelona;Real Zaragoza;02:01;CF;42;01:00;Header;Ludovic Giuly
05-juin;LaLiga;24;2/18/06;H;FC Barcelona;Real Betis Balompie;05:01;RW;84;05:01;Left-footed shot;
06-juil;LaLiga;1;8/28/06;A;FC Barcelona;Celta de Vigo;02:03;LW;59;01:02;Left-footed shot;Andres Iniesta
06-juil;LaLiga;2;09/09/2006;H;FC Barcelona;CA Osasuna;03:00;RW;36;03:00;Left-footed shot;Samuel Etoo
06-juil;UEFA Champions League;Group Stage;9/27/06;A;FC Barcelona;SV Werder Bremen;01:01;RW;89;01:01;Left-footed shot;Deco
06-juil;LaLiga;6;10/15/06;H;FC Barcelona;Sevilla FC;03:01;RW;80;03:01;Right-footed shot;Xavi
06-juil;LaLiga;26;03/10/2007;H;FC Barcelona;Real Madrid;03:03;RW;11;01:01;Left-footed shot;Samuel Etoo
06-juil;LaLiga;26;03/10/2007;H;FC Barcelona;Real Madrid;03:03;RW;28;02:02;Left-footed shot;
06-juil;LaLiga;26;03/10/2007;H;FC Barcelona;Real Madrid;03:03;RW;90+1;03:03;Left-footed shot;Ronaldinho Gaacho
06-juil;LaLiga;27;3/17/07;A;FC Barcelona;Recreativo Huelva;00:04;RW;86;00:04;Left-footed shot;
06-juil;LaLiga;28;3/31/07;H;FC Barcelona;Deportivo de La Coruaa;02:01;RW;45;01:00;Left-footed shot;Ronaldinho Gaacho
06-juil;Copa del Rey;Semi-Finals;4/18/07;H;FC Barcelona;Getafe CF;05:02;RW;29;02:00;Solo run;Xavi
06-juil;Copa del Rey;Semi-Finals;4/18/07;H;FC Barcelona;Getafe CF;05:02;RW;45;03:00;Left-footed shot;Deco
06-juil;LaLiga;35;5/20/07;A;FC Barcelona;Atletico de Madrid;00:06;RW;39;00:01;Left-footed shot;Samuel Etoo
06-juil;LaLiga;35;5/20/07;A;FC Barcelona;Atletico de Madrid;00:06;RW;80;00:05;Left-footed shot;Giovanni van Bronckhorst
06-juil;LaLiga;37;06/09/2007;H;FC Barcelona;RCD Espanyol Barcelona;02:02;RW;43;01:01;;Gianluca Zambrotta
06-juil;LaLiga;37;06/09/2007;H;FC Barcelona;RCD Espanyol Barcelona;02:02;RW;57;02:01;Right-footed shot;Deco
06-juil;LaLiga;38;6/17/07;A;FC Barcelona;Gimnastic de Tarragona;01:05;RW;34;00:02;Left-footed shot;Deco
06-juil;LaLiga;38;6/17/07;A;FC Barcelona;Gimnastic de Tarragona;01:05;RW;51;00:04;Left-footed shot;Deco
07-août;UEFA Champions League;Group Stage;9/19/07;H;FC Barcelona;Olympique Lyon;03:00;RW;82;02:00;Left-footed shot;Andres Iniesta
07-août;LaLiga;4;9/22/07;H;FC Barcelona;Sevilla FC;02:01;RW;72;01:00;Left-footed shot;Thierry Henry
07-août;LaLiga;4;9/22/07;H;FC Barcelona;Sevilla FC;02:01;RW;79;02:00;Penalty;
07-août;LaLiga;5;9/26/07;H;FC Barcelona;Real Zaragoza;04:01;RW;5;01:00;Left-footed shot;Thierry Henry
07-août;LaLiga;5;9/26/07;H;FC Barcelona;Real Zaragoza;04:01;RW;10;02:01;Left-footed shot;Deco
07-août;LaLiga;6;9/29/07;A;FC Barcelona;Levante UD;01:04;RW;50;00:04;Left-footed shot;Deco
07-août;UEFA Champions League;Group Stage;10/02/2007;A;FC Barcelona;VfB Stuttgart;00:02;RW;66;00:02;Deflected shot on goal;Thierry Henry
07-août;LaLiga;7;10/07/2007;H;FC Barcelona;Atletico de Madrid;03:00;RW;19;02:00;Left-footed shot;Ronaldinho Gaacho
07-août;LaLiga;9;10/28/07;H;FC Barcelona;UD Almera;02:00;RW;80;02:00;Penalty;
07-août;UEFA Champions League;Group Stage;11/07/2007;H;FC Barcelona;Rangers FC;02:00;RW;41;02:00;Left-footed shot;Ronaldinho Gaacho
07-août;LaLiga;13;11/24/07;H;FC Barcelona;Recreativo Huelva;03:00;RW;81;03:00;Penalty;
07-août;UEFA Champions League;Group Stage;11/27/07;A;FC Barcelona;Olympique Lyon;02:02;RW;58;01:02;Penalty;
07-août;UEFA Champions League;last 16;2/20/08;A;FC Barcelona;Celtic FC;02:03;RW;18;01:01;Left-footed shot;Deco
07-août;UEFA Champions League;last 16;2/20/08;A;FC Barcelona;Celtic FC;02:03;RW;79;02:03;Left-footed shot;
07-août;LaLiga;25;2/24/08;H;FC Barcelona;Levante UD;05:01;RW;44;02:01;Left-footed shot;Xavi
07-août;LaLiga;35;05/04/2008;H;FC Barcelona;Valencia CF;06:00;RW;5;01:00;Penalty;
08-sept;LaLiga;2;9/13/08;H;FC Barcelona;Racing Santander;01:01;RW;70;01:00;Penalty;
08-sept;LaLiga;3;9/21/08;A;FC Barcelona;Sporting GijÃƒÂ³n;01:06;RW;85;01:05;Left-footed shot;Andres Iniesta
08-sept;LaLiga;3;9/21/08;A;FC Barcelona;Sporting GijÃƒÂ³n;01:06;RW;89;01:06;Header;Xavi
08-sept;LaLiga;5;9/27/08;A;FC Barcelona;RCD Espanyol Barcelona;01:02;RW;90;01:02;Penalty;
08-sept;UEFA Champions League;Group Stage;10/01/2008;A;FC Barcelona;Shakhtar Donetsk;01:02;RW;87;01:01;Right-footed shot;Bojan Krkic
08-sept;UEFA Champions League;Group Stage;10/01/2008;A;FC Barcelona;Shakhtar Donetsk;01:02;RW;90+2;01:02;Left-footed shot;Xavi
08-sept;LaLiga;6;10/04/2008;H;FC Barcelona;Atletico de Madrid;06:01;RW;8;03:00;Direct free kick;
08-sept;UEFA Champions League;Group Stage;10/22/08;A;FC Barcelona;FC Basel 1893;00:05;CF;4;00:01;Left-footed shot;Dani Alves
08-sept;LaLiga;9;11/01/2008;A;FC Barcelona;Malaga CF;01:04;RW;19;01:02;Left-footed shot;
08-sept;UEFA Champions League;Group Stage;11/04/2008;H;FC Barcelona;FC Basel 1893;01:01;RW;61;01:00;Left-footed shot;Thierry Henry
08-sept;Copa del Rey;Fifth Round;11/12/2008;H;FC Barcelona;Benidorm CD;01:00;RW;86;01:00;Penalty rebound;
08-sept;LaLiga;11;11/16/08;A;FC Barcelona;Recreativo Huelva;00:02;RW;51;00:01;Left-footed shot;Xavi
08-sept;UEFA Champions League;Group Stage;11/26/08;A;FC Barcelona;Sporting CP;02:05;RW;49;00:03;Left-footed shot;Dani Alves
08-sept;LaLiga;13;11/29/08;A;FC Barcelona;Sevilla FC;00:03;RW;78;00:02;Left-footed shot;Xavi
08-sept;LaLiga;13;11/29/08;A;FC Barcelona;Sevilla FC;00:03;RW;90+2;00:03;Left-footed shot;Aleksandr Hleb
08-sept;LaLiga;15;12/13/08;H;FC Barcelona;Real Madrid;02:00;RW;89;02:00;Counter attack goal;Thierry Henry
08-sept;Copa del Rey;Round of 16;01/06/2009;A;FC Barcelona;Atletico de Madrid;01:03;RW;11;00:01;Left-footed shot;Dani Alves
08-sept;Copa del Rey;Round of 16;01/06/2009;A;FC Barcelona;Atletico de Madrid;01:03;RW;57;00:02;Penalty;
08-sept;Copa del Rey;Round of 16;01/06/2009;A;FC Barcelona;Atletico de Madrid;01:03;RW;79;01:03;Right-footed shot;Andres Iniesta
08-sept;LaLiga;18;01/11/2009;A;FC Barcelona;CA Osasuna;02:03;RW;84;02:03;Left-footed shot;Dani Alves
08-sept;LaLiga;19;1/17/09;H;FC Barcelona;Deportivo de La Coruaa;05:00;RW;21;01:00;Left-footed shot;
08-sept;LaLiga;20;1/24/09;H;FC Barcelona;CD Numancia;04:01;RW;49;01:00;Left-footed shot;Dani Alves
08-sept;LaLiga;20;1/24/09;H;FC Barcelona;CD Numancia;04:01;RW;76;04:01;Right-footed shot;
08-sept;LaLiga;21;02/01/2009;A;FC Barcelona;Racing Santander;01:02;RW;65;01:01;Right-footed shot;Xavi
08-sept;LaLiga;21;02/01/2009;A;FC Barcelona;Racing Santander;01:02;RW;81;01:02;Right-footed shot;
08-sept;LaLiga;25;03/01/2009;A;FC Barcelona;Atletico de Madrid;04:03;RW;30;00:02;Left-footed shot;
08-sept;Copa del Rey;Semi-Finals;03/04/2009;A;FC Barcelona;RCD Mallorca;01:01;RW;81;01:01;Left-footed shot;Gerard Pique
08-sept;LaLiga;26;03/07/2009;H;FC Barcelona;Athletic Bilbao;02:00;RW;31;02:00;Penalty;
08-sept;UEFA Champions League;last 16;03/11/2009;H;FC Barcelona;Olympique Lyon;05:02;RW;40;03:00;Left-footed shot;Samuel Etoo
08-sept;LaLiga;28;3/22/09;H;FC Barcelona;Malaga CF;06:00;RW;26;02:00;Right-footed shot;Xavi
08-sept;UEFA Champions League;Quarter-Finals;04/08/2009;H;FC Barcelona;Bayern Munich;04:00;RW;9;01:00;Left-footed shot;Samuel Etoo
08-sept;UEFA Champions League;Quarter-Finals;04/08/2009;H;FC Barcelona;Bayern Munich;04:00;RW;38;03:00;Right-footed shot;Thierry Henry
08-sept;LaLiga;31;4/18/09;A;FC Barcelona;Getafe CF;00:01;RW;18;00:01;Left-footed shot;Xavi
08-sept;LaLiga;33;4/25/09;A;FC Barcelona;Valencia CF;02:02;RW;23;00:01;Left-footed shot;Andres Iniesta
08-sept;LaLiga;34;05/02/2009;A;FC Barcelona;Real Madrid;02:06;CF;35;01:03;Left-footed shot;Xavi
08-sept;LaLiga;34;05/02/2009;A;FC Barcelona;Real Madrid;02:06;CF;75;02:05;Left-footed shot;Xavi
08-sept;Copa del Rey;Final;5/13/09;H;FC Barcelona;Athletic Bilbao;04:01;RW;55;02:01;Left-footed shot;Samuel Etoo
08-sept;UEFA Champions League;Final;5/27/09;H;FC Barcelona;Manchester United;02:00;CF;70;02:00;Header;Xavi
09-oct;Supercopa;final;8/23/09;H;FC Barcelona;Athletic Bilbao;03:00;RW;50;01:00;Right-footed shot;Zlatan Ibrahimovic
09-oct;Supercopa;final;8/23/09;H;FC Barcelona;Athletic Bilbao;03:00;RW;68;02:00;Penalty;
09-oct;LaLiga;2;09/12/2009;A;FC Barcelona;Getafe CF;00:02;RW;78;00:02;Header;Zlatan Ibrahimovic
09-oct;LaLiga;3;9/19/09;H;FC Barcelona;Atletico de Madrid;05:02;RW;15;02:00;Left-footed shot;Xavi
09-oct;LaLiga;3;9/19/09;H;FC Barcelona;Atletico de Madrid;05:02;RW;90+3;05:02;Right-footed shot;Dani Alves
09-oct;LaLiga;4;9/22/09;A;FC Barcelona;Racing Santander;01:04;RW;23;00:02;Left-footed shot;Xavi
09-oct;LaLiga;4;9/22/09;A;FC Barcelona;Racing Santander;01:04;RW;63;00:04;Left-footed shot;Xavi
09-oct;UEFA Champions League;Group Stage;9/29/09;H;FC Barcelona;Dynamo Kyiv;02:00;RW;25;01:00;Left-footed shot;Andres Iniesta
09-oct;LaLiga;8;10/25/09;H;FC Barcelona;Real Zaragoza;06:01;RW;80;05:01;Left-footed shot;Andres Iniesta
09-oct;LaLiga;10;11/07/2009;H;FC Barcelona;RCD Mallorca;04:02;RW;86;04:01;Penalty;
09-oct;Copa del Rey;5th round;11/10/2009;H;FC Barcelona;Cultural Leonesa;05:00;RW;64;04:00;Left-footed shot;Pedro
09-oct;LaLiga;13;12/05/2009;A;FC Barcelona;Deportivo de La Coruaa;01:03;RW;26;00:01;Left-footed shot;Dani Alves
09-oct;LaLiga;13;12/05/2009;A;FC Barcelona;Deportivo de La Coruaa;01:03;RW;80;01:02;Header;Pedro
09-oct;UEFA Champions League;Group Stage;12/09/2009;A;FC Barcelona;Dynamo Kyiv;01:02;RW;86;01:02;Direct free kick;
09-oct;FIFA Club World Cup;Semi-Finals;12/16/09;A;FC Barcelona;CF Atlante;01:03;RW;55;01:02;Left-footed shot;Zlatan Ibrahimovic
09-oct;FIFA Club World Cup;Final;12/19/09;A;FC Barcelona;Club Estudiantes de La Plata;1:2 AET;RW;110;01:02;Chest;Dani Alves
09-oct;LaLiga;17;01/10/2010;A;FC Barcelona;CD Tenerife;00:05;RW;36;00:01;Left-footed shot;Bojan Krkic
09-oct;LaLiga;17;01/10/2010;A;FC Barcelona;CD Tenerife;00:05;RW;45;00:03;Right-footed shot;Bojan Krkic
09-oct;LaLiga;17;01/10/2010;A;FC Barcelona;CD Tenerife;00:05;RW;75;00:04;Left-footed shot;Bojan Krkic
09-oct;LaLiga;18;1/16/10;H;FC Barcelona;Sevilla FC;04:00;RW;85;03:00;Left-footed shot;Dani Alves
09-oct;LaLiga;18;1/16/10;H;FC Barcelona;Sevilla FC;04:00;RW;90+1;04:00;Left-footed shot;Ãƒâ€°ric Abidal
09-oct;LaLiga;19;1/23/10;A;FC Barcelona;Real Valladolid CF;00:03;RW;54;00:03;Left-footed shot;Zlatan Ibrahimovic
09-oct;LaLiga;21;02/06/2010;H;FC Barcelona;Getafe CF;02:01;RW;7;01:00;Left-footed shot;Yaya Toure
09-oct;LaLiga;24;2/27/10;H;FC Barcelona;Malaga CF;02:01;RW;84;02:01;Right-footed shot;Dani Alves
09-oct;LaLiga;25;03/06/2010;A;FC Barcelona;UD Almera;02:02;RW;42;01:01;Direct free kick;
09-oct;LaLiga;25;03/06/2010;A;FC Barcelona;UD Almera;02:02;RW;66;02:02;Left-footed shot;
09-oct;LaLiga;26;3/14/10;H;FC Barcelona;Valencia CF;03:00;CF;56;01:00;Left-footed shot;Xavi
09-oct;LaLiga;26;3/14/10;H;FC Barcelona;Valencia CF;03:00;CF;80;02:00;Left-footed shot;Thierry Henry
09-oct;LaLiga;26;3/14/10;H;FC Barcelona;Valencia CF;03:00;CF;82;03:00;Right-footed shot;Thierry Henry
09-oct;UEFA Champions League;last 16;3/17/10;H;FC Barcelona;VfB Stuttgart;04:00;CF;13;01:00;Left-footed shot;Yaya Toure
09-oct;UEFA Champions League;last 16;3/17/10;H;FC Barcelona;VfB Stuttgart;04:00;CF;56;03:00;Left-footed shot;Dani Alves
09-oct;LaLiga;27;3/21/10;A;FC Barcelona;Real Zaragoza;02:04;RW;4;00:01;Header;Pedro
09-oct;LaLiga;27;3/21/10;A;FC Barcelona;Real Zaragoza;02:04;RW;65;00:02;Left-footed shot;
09-oct;LaLiga;27;3/21/10;A;FC Barcelona;Real Zaragoza;02:04;RW;78;00:03;Left-footed shot;Andres Iniesta
09-oct;LaLiga;30;04/03/2010;H;FC Barcelona;Athletic Bilbao;04:01;CF;67;04:00;Left-footed shot;Pedro
09-oct;UEFA Champions League;Quarter-Finals;04/06/2010;H;FC Barcelona;Arsenal FC;04:01;CF;21;01:01;Left-footed shot;
09-oct;UEFA Champions League;Quarter-Finals;04/06/2010;H;FC Barcelona;Arsenal FC;04:01;CF;37;02:01;Right-footed shot;Pedro
09-oct;UEFA Champions League;Quarter-Finals;04/06/2010;H;FC Barcelona;Arsenal FC;04:01;CF;42;03:01;Left-footed shot;Seydou Keita
09-oct;UEFA Champions League;Quarter-Finals;04/06/2010;H;FC Barcelona;Arsenal FC;04:01;CF;88;04:01;Left-footed shot;Xavi
09-oct;LaLiga;31;04/10/2010;A;FC Barcelona;Real Madrid;00:02;CF;32;00:01;Right-footed shot;Xavi
09-oct;LaLiga;35;05/01/2010;A;FC Barcelona;Villarreal CF;01:04;RW;18;00:01;Left-footed shot;Xavi
09-oct;LaLiga;35;05/01/2010;A;FC Barcelona;Villarreal CF;01:04;RW;87;01:04;Left-footed shot;Dani Alves
09-oct;LaLiga;36;05/04/2010;H;FC Barcelona;CD Tenerife;04:01;RW;16;01:00;Right-footed shot;Zlatan Ibrahimovic
09-oct;LaLiga;36;05/04/2010;H;FC Barcelona;CD Tenerife;04:01;RW;90+3;04:01;Right-footed shot;Dani Alves
09-oct;LaLiga;37;05/08/2010;A;FC Barcelona;Sevilla FC;02:03;RW;5;00:01;Left-footed shot;Maxwell
09-oct;LaLiga;38;5/16/10;H;FC Barcelona;Real Valladolid CF;04:00;RW;61;03:00;Right-footed shot;Yaya Toure
09-oct;LaLiga;38;5/16/10;H;FC Barcelona;Real Valladolid CF;04:00;RW;74;04:00;Left-footed shot;Yaya Toure
10-nov;Supercopa;final;8/21/10;H;FC Barcelona;Sevilla FC;04:00;RW;25;02:00;Left-footed shot;Xavi
10-nov;Supercopa;final;8/21/10;H;FC Barcelona;Sevilla FC;04:00;RW;43;03:00;Right-footed shot;Dani Alves
10-nov;Supercopa;final;8/21/10;H;FC Barcelona;Sevilla FC;04:00;RW;90+1;04:00;Left-footed shot;Andres Iniesta
10-nov;LaLiga;1;8/29/10;A;FC Barcelona;Racing Santander;00:03;RW;3;00:01;Left-footed shot;Andres Iniesta
10-nov;UEFA Champions League;Group Stage;9/14/10;H;FC Barcelona;Panathinaikos Athens;05:01;CF;22;01:01;Left-footed shot;Xavi
10-nov;UEFA Champions League;Group Stage;9/14/10;H;FC Barcelona;Panathinaikos Athens;05:01;CF;45;03:01;Left-footed shot;Pedro
10-nov;LaLiga;3;9/19/10;A;FC Barcelona;Atletico de Madrid;01:02;CF;12;00:01;Left-footed shot;Pedro
10-nov;LaLiga;6;10/03/2010;H;FC Barcelona;RCD Mallorca;01:01;CF;20;01:00;Left-footed shot;Pedro
10-nov;UEFA Champions League;Group Stage;10/20/10;H;FC Barcelona;FC Copenhagen;02:00;CF;18;01:00;Left-footed shot;Andres Iniesta
10-nov;UEFA Champions League;Group Stage;10/20/10;H;FC Barcelona;FC Copenhagen;02:00;CF;90+1;02:00;Left-footed shot;Ãƒâ€°ric Abidal
10-nov;LaLiga;8;10/23/10;A;FC Barcelona;Real Zaragoza;00:02;CF;41;00:01;Left-footed shot;David Villa
10-nov;LaLiga;8;10/23/10;A;FC Barcelona;Real Zaragoza;00:02;CF;65;00:02;Left-footed shot;
10-nov;LaLiga;9;10/30/10;H;FC Barcelona;Sevilla FC;05:00;RW;4;01:00;Left-footed shot;
10-nov;LaLiga;9;10/30/10;H;FC Barcelona;Sevilla FC;05:00;RW;63;04:00;Left-footed shot;
10-nov;UEFA Champions League;Group Stage;11/02/2010;A;FC Barcelona;FC Copenhagen;01:01;CF;31;00:01;Right-footed shot;
10-nov;LaLiga;10;11/07/2010;A;FC Barcelona;Getafe CF;01:03;CF;23;00:01;Left-footed shot;David Villa
10-nov;Copa del Rey;4th round;11/10/2010;H;FC Barcelona;Club Atletico de Ceuta;05:01;RW;67;05:01;Left-footed shot;Thiago
10-nov;LaLiga;11;11/13/10;H;FC Barcelona;Villarreal CF;03:01;CF;58;02:01;Right-footed shot;Pedro
10-nov;LaLiga;11;11/13/10;H;FC Barcelona;Villarreal CF;03:01;CF;83;03:01;Left-footed shot;Pedro
10-nov;LaLiga;12;11/20/10;A;FC Barcelona;UD Almera;00:08;CF;16;00:01;Left-footed shot;David Villa
10-nov;LaLiga;12;11/20/10;A;FC Barcelona;UD Almera;00:08;CF;36;00:05;Tap-in;
10-nov;LaLiga;12;11/20/10;A;FC Barcelona;UD Almera;00:08;CF;67;00:07;Tap-in;David Villa
10-nov;UEFA Champions League;Group Stage;11/24/10;A;FC Barcelona;Panathinaikos Athens;00:03;CF;63;00:02;Left-footed shot;Adriano
10-nov;LaLiga;14;12/04/2010;A;FC Barcelona;CA Osasuna;00:03;CF;64;00:02;Left-footed shot;David Villa
10-nov;LaLiga;14;12/04/2010;A;FC Barcelona;CA Osasuna;00:03;CF;82;00:03;Penalty;
10-nov;LaLiga;15;12/12/2010;H;FC Barcelona;Real Sociedad;05:00;CF;46;03:00;Left-footed shot;Dani Alves
10-nov;LaLiga;15;12/12/2010;H;FC Barcelona;Real Sociedad;05:00;CF;86;04:00;Left-footed shot;Bojan Krkic
10-nov;LaLiga;18;01/08/2011;A;FC Barcelona;Deportivo de La Coruaa;00:04;CF;51;00:02;Direct free kick;
10-nov;Copa del Rey;Quarter-Finals;01/12/2011;H;FC Barcelona;Real Betis Balompie;05:00;CF;44;01:00;Left-footed shot;Andres Iniesta
10-nov;Copa del Rey;Quarter-Finals;01/12/2011;H;FC Barcelona;Real Betis Balompie;05:00;CF;63;02:00;Left-footed shot;
10-nov;Copa del Rey;Quarter-Finals;01/12/2011;H;FC Barcelona;Real Betis Balompie;05:00;CF;73;03:00;Left-footed shot;Xavi
10-nov;Copa del Rey;Quarter-Finals;1/19/11;A;FC Barcelona;Real Betis Balompie;03:01;RW;37;02:01;Left-footed shot;Xavi
10-nov;LaLiga;20;1/22/11;H;FC Barcelona;Racing Santander;03:00;CF;33;02:00;Penalty;
10-nov;Copa del Rey;Semi-Finals;1/26/11;H;FC Barcelona;UD Almera;05:00;CF;9;01:00;Left-footed shot;Pedro
10-nov;Copa del Rey;Semi-Finals;1/26/11;H;FC Barcelona;UD Almera;05:00;CF;15;03:00;Left-footed shot;Andres Iniesta
10-nov;LaLiga;21;1/29/11;A;FC Barcelona;Hercules CF;00:03;CF;87;00:02;Left-footed shot;Dani Alves
10-nov;LaLiga;21;1/29/11;A;FC Barcelona;Hercules CF;00:03;CF;89;00:03;Left-footed shot;Dani Alves
10-nov;LaLiga;22;02/05/2011;H;FC Barcelona;Atletico de Madrid;03:00;CF;16;01:00;Left-footed shot;Dani Alves
10-nov;LaLiga;22;02/05/2011;H;FC Barcelona;Atletico de Madrid;03:00;CF;28;02:00;Left-footed shot;Pedro
10-nov;LaLiga;22;02/05/2011;H;FC Barcelona;Atletico de Madrid;03:00;CF;78;03:00;Left-footed shot;David Villa
10-nov;LaLiga;24;2/20/11;H;FC Barcelona;Athletic Bilbao;02:01;CF;78;02:01;Right-footed shot;Dani Alves
10-nov;LaLiga;25;2/26/11;A;FC Barcelona;RCD Mallorca;00:03;CF;38;00:01;Header;Seydou Keita
10-nov;LaLiga;26;03/02/2011;A;FC Barcelona;Valencia CF;00:01;CF;77;00:01;Left-footed shot;Adriano
10-nov;UEFA Champions League;last 16;03/08/2011;H;FC Barcelona;Arsenal FC;03:01;RW;49;01:00;Left-footed shot;Andres Iniesta
