Season;Competition;Matchday;Date;Venue;Club;Opponent;Result;Playing_Position;Minute;At_score;Type;Goal_assist
10-nov;UEFA Champions League;last 16;03/08/2011;H;FC Barcelona;Arsenal FC;03:01;RW;72;03:01;Penalty;
10-nov;LaLiga;31;04/09/2011;H;FC Barcelona;UD Almera;03:01;CF;52;01:01;Penalty;
10-nov;LaLiga;31;04/09/2011;H;FC Barcelona;UD Almera;03:01;CF;90+1;03:01;Left-footed shot;Seydou Keita
10-nov;UEFA Champions League;Quarter-Finals;04/12/2011;A;FC Barcelona;Shakhtar Donetsk;00:01;CF;42;00:01;Left-footed shot;Dani Alves
10-nov;LaLiga;32;4/16/11;A;FC Barcelona;Real Madrid;01:01;CF;53;00:01;Penalty;
10-nov;LaLiga;33;4/23/11;H;FC Barcelona;CA Osasuna;02:00;CF;87;02:00;Right-footed shot;Dani Alves
10-nov;UEFA Champions League;Semi-Finals;4/27/11;A;FC Barcelona;Real Madrid;00:02;CF;76;00:01;Left-footed shot;Ibrahim Afellay
10-nov;UEFA Champions League;Semi-Finals;4/27/11;A;FC Barcelona;Real Madrid;00:02;CF;87;00:02;Solo run;Sergio Busquets
10-nov;UEFA Champions League;Final;5/28/11;H;FC Barcelona;Manchester United;03:01;CF;54;02:01;Left-footed shot;Andres Iniesta
11-Dec;Supercopa;final;8/14/11;A;FC Barcelona;Real Madrid;02:02;CF;45;01:02;Left-footed shot;Thiago
11-Dec;Supercopa;final;8/17/11;H;FC Barcelona;Real Madrid;03:02;CF;44;02:01;Right-footed shot;Gerard Pique
11-Dec;Supercopa;final;8/17/11;H;FC Barcelona;Real Madrid;03:02;CF;88;03:02;Left-footed shot;Adriano
11-Dec;UEFA Super Cup;Final;8/26/11;H;FC Barcelona;FC Porto;02:00;CF;39;01:00;Left-footed shot;
11-Dec;LaLiga;2;8/29/11;H;FC Barcelona;Villarreal CF;05:00;CF;51;04:00;Right-footed shot;Andres Iniesta
11-Dec;LaLiga;2;8/29/11;H;FC Barcelona;Villarreal CF;05:00;CF;74;05:00;Left-footed shot;Thiago
11-Dec;LaLiga;4;9/17/11;H;FC Barcelona;CA Osasuna;08:00;CF;5;01:00;Left-footed shot;Dani Alves
11-Dec;LaLiga;4;9/17/11;H;FC Barcelona;CA Osasuna;08:00;CF;41;05:00;Left-footed shot;Cesc Fabregas
11-Dec;LaLiga;4;9/17/11;H;FC Barcelona;CA Osasuna;08:00;CF;79;08:00;Left-footed shot;Cesc Fabregas
11-Dec;LaLiga;6;9/24/11;H;FC Barcelona;Atletico de Madrid;05:00;CF;26;03:00;Left-footed shot;Pedro
11-Dec;LaLiga;6;9/24/11;H;FC Barcelona;Atletico de Madrid;05:00;CF;78;04:00;Left-footed shot;Dani Alves
11-Dec;LaLiga;6;9/24/11;H;FC Barcelona;Atletico de Madrid;05:00;CF;90+1;05:00;Left-footed shot;David Villa
11-Dec;UEFA Champions League;Group Stage;9/28/11;A;FC Barcelona;BATE Borisov;00:05;CF;38;00:03;Header;
11-Dec;UEFA Champions League;Group Stage;9/28/11;A;FC Barcelona;BATE Borisov;00:05;CF;56;00:04;Left-footed shot;Dani Alves
11-Dec;LaLiga;8;10/15/11;H;FC Barcelona;Racing Santander;03:00;CF;11;01:00;Right-footed shot;Andres Iniesta
11-Dec;LaLiga;8;10/15/11;H;FC Barcelona;Racing Santander;03:00;CF;69;03:00;Right-footed shot;
11-Dec;LaLiga;11;10/29/11;H;FC Barcelona;RCD Mallorca;05:00;CF;13;01:00;Penalty;
11-Dec;LaLiga;11;10/29/11;H;FC Barcelona;RCD Mallorca;05:00;CF;21;02:00;Right-footed shot;Adriano
11-Dec;LaLiga;11;10/29/11;H;FC Barcelona;RCD Mallorca;05:00;CF;30;03:00;Left-footed shot;Dani Alves
11-Dec;UEFA Champions League;Group Stage;11/01/2011;A;FC Barcelona;FC Viktoria Plzen;00:04;CF;24;00:01;Penalty;
11-Dec;UEFA Champions League;Group Stage;11/01/2011;A;FC Barcelona;FC Viktoria Plzen;00:04;CF;45+2;00:02;Left-footed shot;Adriano
11-Dec;UEFA Champions League;Group Stage;11/01/2011;A;FC Barcelona;FC Viktoria Plzen;00:04;CF;90+2;00:04;Left-footed shot;Gerard Pique
11-Dec;LaLiga;12;11/06/2011;A;FC Barcelona;Athletic Bilbao;02:02;CF;90;02:02;Left-footed shot;
11-Dec;LaLiga;13;11/19/11;H;FC Barcelona;Real Zaragoza;04:00;CF;43;02:00;Right-footed shot;Cesc Fabregas
11-Dec;UEFA Champions League;Group Stage;11/23/11;A;FC Barcelona;AC Milan;02:03;SS;31;01:02;Penalty;
11-Dec;LaLiga;17;11/29/11;H;FC Barcelona;Rayo Vallecano;04:00;CF;49;04:00;Left-footed shot;Dani Alves
11-Dec;LaLiga;15;12/03/2011;H;FC Barcelona;Levante UD;05:00;CF;55;04:00;Left-footed shot;Dani Alves
11-Dec;FIFA Club World Cup;Final;12/18/11;A;FC Barcelona;Santos FC;00:04;RW;17;00:01;Left-footed shot;Xavi
11-Dec;FIFA Club World Cup;Final;12/18/11;A;FC Barcelona;Santos FC;00:04;RW;82;00:04;Left-footed shot;Dani Alves
11-Dec;Copa del Rey;last 16;01/04/2012;H;FC Barcelona;CA Osasuna;04:00;CF;71;03:00;Header;Cesc Fabregas
11-Dec;Copa del Rey;last 16;01/04/2012;H;FC Barcelona;CA Osasuna;04:00;CF;90;04:00;Left-footed shot;Xavi
11-Dec;LaLiga;19;1/15/12;H;FC Barcelona;Real Betis Balompie;04:02;CF;12;02:00;Right-footed shot;Alexis Sanchez
11-Dec;LaLiga;19;1/15/12;H;FC Barcelona;Real Betis Balompie;04:02;CF;86;04:02;Penalty;
11-Dec;LaLiga;1;1/22/12;A;FC Barcelona;Malaga CF;01:04;CF;32;00:01;Header;Adriano
11-Dec;LaLiga;1;1/22/12;A;FC Barcelona;Malaga CF;01:04;CF;51;00:03;Left-footed shot;Thiago
11-Dec;LaLiga;1;1/22/12;A;FC Barcelona;Malaga CF;01:04;CF;77;00:04;Left-footed shot;Pedro
11-Dec;LaLiga;22;02/04/2012;H;FC Barcelona;Real Sociedad;02:01;CF;72;02:00;Left-footed shot;Dani Alves
11-Dec;UEFA Champions League;last 16;2/14/12;A;FC Barcelona;Bayer 04 Leverkusen;01:03;CF;88;01:03;Left-footed shot;Dani Alves
11-Dec;LaLiga;24;2/19/12;H;FC Barcelona;Valencia CF;05:01;CF;21;01:01;Left-footed shot;
11-Dec;LaLiga;24;2/19/12;H;FC Barcelona;Valencia CF;05:01;CF;27;02:01;Tap-in;
11-Dec;LaLiga;24;2/19/12;H;FC Barcelona;Valencia CF;05:01;CF;75;03:01;Left-footed shot;Cristian Tello
11-Dec;LaLiga;24;2/19/12;H;FC Barcelona;Valencia CF;05:01;CF;84;04:01;Left-footed shot;Sergio Busquets
11-Dec;LaLiga;25;2/26/12;A;FC Barcelona;Atletico de Madrid;01:02;CF;79;01:02;Direct free kick;
11-Dec;UEFA Champions League;last 16;03/07/2012;H;FC Barcelona;Bayer 04 Leverkusen;07:01;CF;25;01:00;Left-footed shot;Xavi
11-Dec;UEFA Champions League;last 16;03/07/2012;H;FC Barcelona;Bayer 04 Leverkusen;07:01;CF;42;02:00;Left-footed shot;Andres Iniesta
11-Dec;UEFA Champions League;last 16;03/07/2012;H;FC Barcelona;Bayer 04 Leverkusen;07:01;CF;50;03:00;Right-footed shot;Cesc Fabregas
11-Dec;UEFA Champions League;last 16;03/07/2012;H;FC Barcelona;Bayer 04 Leverkusen;07:01;CF;58;05:00;Left-footed shot;
11-Dec;UEFA Champions League;last 16;03/07/2012;H;FC Barcelona;Bayer 04 Leverkusen;07:01;CF;85;07:00;Left-footed shot;Seydou Keita
11-Dec;LaLiga;27;03/11/2012;A;FC Barcelona;Racing Santander;00:02;CF;28;00:01;Left-footed shot;Cesc Fabregas
11-Dec;LaLiga;27;03/11/2012;A;FC Barcelona;Racing Santander;00:02;CF;55;00:02;Penalty;
11-Dec;LaLiga;28;3/17/12;A;FC Barcelona;Sevilla FC;00:02;CF;25;00:02;Left-footed shot;Andres Iniesta
11-Dec;LaLiga;29;3/20/12;H;FC Barcelona;Granada CF;05:03;CF;16;02:00;Left-footed shot;Isaac Cuenca
11-Dec;LaLiga;29;3/20/12;H;FC Barcelona;Granada CF;05:03;CF;66;03:02;Left-footed shot;Dani Alves
11-Dec;LaLiga;29;3/20/12;H;FC Barcelona;Granada CF;05:03;CF;85;05:02;Left-footed shot;Dani Alves
11-Dec;LaLiga;30;3/24/12;A;FC Barcelona;RCD Mallorca;00:02;CF;25;00:01;Direct free kick;
11-Dec;LaLiga;31;3/31/12;H;FC Barcelona;Athletic Bilbao;02:00;CF;57;02:00;Penalty;
11-Dec;UEFA Champions League;Quarter-Finals;04/03/2012;H;FC Barcelona;AC Milan;03:01;RW;11;01:00;Penalty;
11-Dec;UEFA Champions League;Quarter-Finals;04/03/2012;H;FC Barcelona;AC Milan;03:01;RW;42;02:01;Penalty;
11-Dec;LaLiga;32;04/07/2012;A;FC Barcelona;Real Zaragoza;01:04;CF;39;01:02;Left-footed shot;Alexis Sanchez
11-Dec;LaLiga;32;04/07/2012;A;FC Barcelona;Real Zaragoza;01:04;CF;86;01:03;Penalty;
11-Dec;LaLiga;33;04/10/2012;H;FC Barcelona;Getafe CF;04:00;CF;44;02:00;Left-footed shot;Andres Iniesta
11-Dec;LaLiga;34;4/14/12;A;FC Barcelona;Levante UD;01:02;CF;64;01:01;Left-footed shot;Alexis Sanchez
11-Dec;LaLiga;34;4/14/12;A;FC Barcelona;Levante UD;01:02;CF;73;01:02;Penalty;
11-Dec;LaLiga;36;4/29/12;A;FC Barcelona;Rayo Vallecano;00:07;CF;16;00:01;Left-footed shot;Pedro
11-Dec;LaLiga;36;4/29/12;A;FC Barcelona;Rayo Vallecano;00:07;CF;88;00:07;Left-footed shot;Pedro
11-Dec;LaLiga;20;05/02/2012;H;FC Barcelona;Malaga CF;04:01;CF;34;02:01;Penalty;
11-Dec;LaLiga;20;05/02/2012;H;FC Barcelona;Malaga CF;04:01;CF;60;03:01;Penalty;
11-Dec;LaLiga;20;05/02/2012;H;FC Barcelona;Malaga CF;04:01;CF;63;04:01;Left-footed shot;Andres Iniesta
11-Dec;LaLiga;37;05/05/2012;H;FC Barcelona;RCD Espanyol Barcelona;04:00;CF;11;01:00;Direct free kick;
11-Dec;LaLiga;37;05/05/2012;H;FC Barcelona;RCD Espanyol Barcelona;04:00;CF;63;02:00;Penalty;
11-Dec;LaLiga;37;05/05/2012;H;FC Barcelona;RCD Espanyol Barcelona;04:00;CF;73;03:00;Left-footed shot;Adriano
11-Dec;LaLiga;37;05/05/2012;H;FC Barcelona;RCD Espanyol Barcelona;04:00;CF;78;04:00;Penalty;
11-Dec;Copa del Rey;Final;5/25/12;H;FC Barcelona;Athletic Bilbao;03:00;CF;20;02:00;Right-footed shot;Andres Iniesta
Dec-13;LaLiga;1;8/19/12;H;FC Barcelona;Real Sociedad;05:01;CF;10;02:01;Left-footed shot;Pedro
Dec-13;LaLiga;1;8/19/12;H;FC Barcelona;Real Sociedad;05:01;CF;15;03:01;Left-footed shot;Cristian Tello
Dec-13;Supercopa;final;8/23/12;H;FC Barcelona;Real Madrid;03:02;CF;60;02:01;Penalty;
Dec-13;LaLiga;2;8/26/12;A;FC Barcelona;CA Osasuna;01:02;CF;74;01:01;Left-footed shot;Alexis Sanchez
Dec-13;LaLiga;2;8/26/12;A;FC Barcelona;CA Osasuna;01:02;CF;79;01:02;Left-footed shot;Jordi Alba
Dec-13;Supercopa;final;8/29/12;A;FC Barcelona;Real Madrid;02:01;CF;45;02:01;Direct free kick;
Dec-13;LaLiga;4;9/15/12;A;FC Barcelona;Getafe CF;01:04;CF;74;00:02;Penalty;
Dec-13;LaLiga;4;9/15/12;A;FC Barcelona;Getafe CF;01:04;CF;78;00:03;Left-footed shot;Pedro
Dec-13;UEFA Champions League;Group Stage;9/19/12;H;FC Barcelona;Spartak Moscow;03:02;CF;71;02:02;Left-footed shot;Cristian Tello
Dec-13;UEFA Champions League;Group Stage;9/19/12;H;FC Barcelona;Spartak Moscow;03:02;CF;80;03:02;Header;Alexis Sanchez
Dec-13;LaLiga;7;10/07/2012;H;FC Barcelona;Real Madrid;02:02;CF;31;01:01;Left-footed shot;
Dec-13;LaLiga;7;10/07/2012;H;FC Barcelona;Real Madrid;02:02;CF;60;02:01;Direct free kick;
Dec-13;LaLiga;8;10/20/12;A;FC Barcelona;Deportivo de La Coruaa;04:05;CF;17;00:03;Left-footed shot;Cesc Fabregas
Dec-13;LaLiga;8;10/20/12;A;FC Barcelona;Deportivo de La Coruaa;04:05;CF;43;02:04;Left-footed shot;Cesc Fabregas
Dec-13;LaLiga;8;10/20/12;A;FC Barcelona;Deportivo de La Coruaa;04:05;CF;76;03:05;Left-footed shot;Xavi
Dec-13;LaLiga;9;10/27/12;A;FC Barcelona;Rayo Vallecano;00:05;CF;48;00:02;Left-footed shot;Marta Montoya
Dec-13;LaLiga;9;10/27/12;A;FC Barcelona;Rayo Vallecano;00:05;CF;89;00:05;Right-footed shot;Cesc Fabregas
Dec-13;UEFA Champions League;Group Stage;11/07/2012;A;FC Barcelona;Celtic FC;02:01;CF;90+1;02:01;Tap-in;
Dec-13;LaLiga;11;11/11/2012;A;FC Barcelona;RCD Mallorca;02:04;CF;43;00:02;Left-footed shot;Sergio Busquets
Dec-13;LaLiga;11;11/11/2012;A;FC Barcelona;RCD Mallorca;02:04;CF;70;02:04;Left-footed shot;Alexis Sanchez
Dec-13;LaLiga;12;11/17/12;H;FC Barcelona;Real Zaragoza;03:01;CF;15;01:00;Left-footed shot;Jordi Alba
Dec-13;LaLiga;12;11/17/12;H;FC Barcelona;Real Zaragoza;03:01;CF;60;03:01;Left-footed shot;Marta Montoya
Dec-13;UEFA Champions League;Group Stage;11/20/12;A;FC Barcelona;Spartak Moscow;00:03;CF;27;00:02;Right-footed shot;
Dec-13;UEFA Champions League;Group Stage;11/20/12;A;FC Barcelona;Spartak Moscow;00:03;CF;39;00:03;Left-footed shot;Pedro
Dec-13;LaLiga;13;11/25/12;A;FC Barcelona;Levante UD;00:04;CF;46;00:01;Left-footed shot;Andres Iniesta
Dec-13;LaLiga;13;11/25/12;A;FC Barcelona;Levante UD;00:04;CF;51;00:02;Left-footed shot;Andres Iniesta
Dec-13;LaLiga;14;12/01/2012;H;FC Barcelona;Athletic Bilbao;05:01;CF;24;02:00;Left-footed shot;Xavi
Dec-13;LaLiga;14;12/01/2012;H;FC Barcelona;Athletic Bilbao;05:01;CF;69;05:01;Right-footed shot;Pedro
Dec-13;LaLiga;15;12/09/2012;A;FC Barcelona;Real Betis Balompie;01:02;CF;16;00:01;Left-footed shot;Andres Iniesta
Dec-13;LaLiga;15;12/09/2012;A;FC Barcelona;Real Betis Balompie;01:02;CF;25;00:02;Left-footed shot;Andres Iniesta
Dec-13;Copa del Rey;last 16;12/12/2012;A;FC Barcelona;CÃƒÂ³rdoba CF;00:02;CF;10;00:01;Left-footed shot;David Villa
Dec-13;Copa del Rey;last 16;12/12/2012;A;FC Barcelona;CÃƒÂ³rdoba CF;00:02;CF;73;00:02;Left-footed shot;Alexis Sanchez
Dec-13;LaLiga;16;12/16/12;H;FC Barcelona;Atletico de Madrid;04:01;CF;58;03:01;Left-footed shot;Alexis Sanchez
Dec-13;LaLiga;16;12/16/12;H;FC Barcelona;Atletico de Madrid;04:01;CF;88;04:01;Left-footed shot;
Dec-13;LaLiga;17;12/22/12;A;FC Barcelona;Real Valladolid CF;01:03;CF;59;00:02;Left-footed shot;Xavi
Dec-13;LaLiga;18;01/06/2013;H;FC Barcelona;RCD Espanyol Barcelona;04:00;CF;28;04:00;Penalty;
Dec-13;LaLiga;19;1/13/13;A;FC Barcelona;Malaga CF;01:03;CF;26;00:01;Right-footed shot;
Dec-13;Copa del Rey;Quarter-Finals;1/16/13;H;FC Barcelona;Malaga CF;02:02;CF;29;01:01;Left-footed shot;
Dec-13;LaLiga;20;1/19/13;A;FC Barcelona;Real Sociedad;03:02;CF;6;00:01;Left-footed shot;Andres Iniesta
Dec-13;Copa del Rey;Quarter-Finals;1/24/13;A;FC Barcelona;Malaga CF;02:04;CF;79;02:04;Header;Dani Alves
Dec-13;LaLiga;21;1/27/13;H;FC Barcelona;CA Osasuna;05:01;CF;11;01:00;Right-footed shot;Xavi
Dec-13;LaLiga;21;1/27/13;H;FC Barcelona;CA Osasuna;05:01;CF;28;02:01;Penalty;
Dec-13;LaLiga;21;1/27/13;H;FC Barcelona;CA Osasuna;05:01;CF;56;04:01;Left-footed shot;David Villa
Dec-13;LaLiga;21;1/27/13;H;FC Barcelona;CA Osasuna;05:01;CF;58;05:01;Left-footed shot;Adriano
Dec-13;LaLiga;22;02/03/2013;A;FC Barcelona;Valencia CF;01:01;CF;39;01:01;Penalty;
Dec-13;LaLiga;23;02/10/2013;H;FC Barcelona;Getafe CF;06:01;CF;13;02:00;Left-footed shot;Thiago
Dec-13;LaLiga;24;2/16/13;A;FC Barcelona;Granada CF;01:02;CF;49;01:01;Left-footed shot;
Dec-13;LaLiga;24;2/16/13;A;FC Barcelona;Granada CF;01:02;CF;72;01:02;Direct free kick;
Dec-13;LaLiga;25;2/23/13;H;FC Barcelona;Sevilla FC;02:01;CF;60;02:01;Left-footed shot;Cristian Tello
Dec-13;LaLiga;26;03/02/2013;A;FC Barcelona;Real Madrid;02:01;CF;18;01:01;Left-footed shot;Dani Alves
Dec-13;LaLiga;27;03/09/2013;H;FC Barcelona;Deportivo de La Coruaa;02:00;CF;88;02:00;Left-footed shot;Alexis Sanchez
Dec-13;UEFA Champions League;last 16;03/12/2013;H;FC Barcelona;AC Milan;04:00;CF;5;01:00;Left-footed shot;Xavi
Dec-13;UEFA Champions League;last 16;03/12/2013;H;FC Barcelona;AC Milan;04:00;CF;40;02:00;Left-footed shot;Andres Iniesta
Dec-13;LaLiga;28;3/17/13;H;FC Barcelona;Rayo Vallecano;03:01;CF;40;02:00;Left-footed shot;David Villa
Dec-13;LaLiga;28;3/17/13;H;FC Barcelona;Rayo Vallecano;03:01;CF;57;03:00;Left-footed shot;David Villa
Dec-13;LaLiga;29;3/30/13;A;FC Barcelona;Celta de Vigo;02:02;CF ;73;01:02;Left-footed shot;Cristian Tello
Dec-13;UEFA Champions League;Quarter-Finals;04/02/2013;A;FC Barcelona;Paris Saint-Germain;02:02;CF;38;00:01;Left-footed shot;Dani Alves
Dec-13;LaLiga;33;4/27/13;A;FC Barcelona;Athletic Bilbao;02:02;CF;67;01:01;Left-footed shot;Thiago
Dec-13;LaLiga;34;05/05/2013;H;FC Barcelona;Real Betis Balompie;04:02;CF;60;03:02;Direct free kick;
Dec-13;LaLiga;34;05/05/2013;H;FC Barcelona;Real Betis Balompie;04:02;CF;71;04:02;Left-footed shot;Alexis Sanchez
13/14;LaLiga;1;8/18/13;H;FC Barcelona;Levante UD;07:00;CF;13;02:00;Left-footed shot;Pedro
13/14;LaLiga;1;8/18/13;H;FC Barcelona;Levante UD;07:00;CF;42;05:00;Penalty;
13/14;LaLiga;3;09/01/2013;A;FC Barcelona;Valencia CF;02:03;CF;11;00:01;Left-footed shot;Cesc Fabregas
13/14;LaLiga;3;09/01/2013;A;FC Barcelona;Valencia CF;02:03;CF;39;00:02;Right-footed shot;Cesc Fabregas
13/14;LaLiga;3;09/01/2013;A;FC Barcelona;Valencia CF;02:03;CF;41;00:03;Left-footed shot;Neymar
13/14;LaLiga;4;9/14/13;H;FC Barcelona;Sevilla FC;03:02;CF;75;02:00;Left-footed shot;Neymar
13/14;UEFA Champions League;Group Stage;9/18/13;H;FC Barcelona;Ajax Amsterdam;04:00;CF;22;01:00;Direct free kick;
13/14;UEFA Champions League;Group Stage;9/18/13;H;FC Barcelona;Ajax Amsterdam;04:00;CF;55;02:00;Left-footed shot;Sergio Busquets
13/14;UEFA Champions League;Group Stage;9/18/13;H;FC Barcelona;Ajax Amsterdam;04:00;CF;75;04:00;Left-footed shot;Xavi
13/14;LaLiga;6;9/24/13;H;FC Barcelona;Real Sociedad;04:01;CF;8;02:00;Header;Neymar
13/14;LaLiga;7;9/28/13;A;FC Barcelona;UD Almera;00:02;CF;21;00:01;Left-footed shot;Pedro
13/14;UEFA Champions League;Group Stage;10/22/13;A;FC Barcelona;AC Milan;01:01;CF;23;01:01;Left-footed shot;Andres Iniesta
13/14;UEFA Champions League;Group Stage;11/06/2013;H;FC Barcelona;AC Milan;03:01;CF;30;01:00;Penalty;
13/14;UEFA Champions League;Group Stage;11/06/2013;H;FC Barcelona;AC Milan;03:01;CF;83;03:01;Left-footed shot;Cesc Fabregas
13/14;Copa del Rey;last 16;01/08/2014;H;FC Barcelona;Getafe CF;04:00;CF;90;03:00;Left-footed shot;Marta Montoya
13/14;Copa del Rey;last 16;01/08/2014;H;FC Barcelona;Getafe CF;04:00;CF;90+2;04:00;Left-footed shot;Alex Song
13/14;Copa del Rey;last 16;1/16/14;A;FC Barcelona;Getafe CF;00:02;CF;43;00:01;Right-footed shot;Cristian Tello
13/14;Copa del Rey;last 16;1/16/14;A;FC Barcelona;Getafe CF;00:02;CF;63;00:02;Left-footed shot;
13/14;LaLiga;22;02/01/2014;H;FC Barcelona;Valencia CF;02:03;CF;54;02:02;Penalty;
13/14;LaLiga;23;02/09/2014;A;FC Barcelona;Sevilla FC;01:04;CF;44;01:02;Left-footed shot;Pedro
13/14;LaLiga;23;02/09/2014;A;FC Barcelona;Sevilla FC;01:04;CF;56;01:03;Left-footed shot;Andres Iniesta
13/14;Copa del Rey;Semi-Finals;02/12/2014;A;FC Barcelona;Real Sociedad;01:01;CF;26;00:01;Solo run;
13/14;LaLiga;24;2/15/14;H;FC Barcelona;Rayo Vallecano;06:00;CF;36;02:00;Left-footed shot;Cesc Fabregas
13/14;LaLiga;24;2/15/14;H;FC Barcelona;Rayo Vallecano;06:00;CF;68;05:00;Left-footed shot;Alexis Sanchez
13/14;UEFA Champions League;last 16;2/18/14;A;FC Barcelona;Manchester City;00:02;CF;54;00:01;Penalty;
13/14;LaLiga;25;2/22/14;A;FC Barcelona;Real Sociedad;03:01;CF;36;01:01;Left-footed shot;Marta Montoya
13/14;LaLiga;26;03/02/2014;H;FC Barcelona;UD Almera;04:01;CF;24;02:00;Direct free kick;
13/14;UEFA Champions League;last 16;03/12/2014;H;FC Barcelona;Manchester City;02:01;CF;67;01:00;Left-footed shot;
13/14;LaLiga;28;3/16/14;H;FC Barcelona;CA Osasuna;07:00;CF;18;01:00;Left-footed shot;Alexis Sanchez
13/14;LaLiga;28;3/16/14;H;FC Barcelona;CA Osasuna;07:00;CF;63;04:00;Left-footed shot;Andres Iniesta
13/14;LaLiga;28;3/16/14;H;FC Barcelona;CA Osasuna;07:00;CF;88;06:00;Right-footed shot;Dani Alves
13/14;LaLiga;29;3/23/14;A;FC Barcelona;Real Madrid;03:04;CF;42;02:02;Left-footed shot;Neymar
13/14;LaLiga;29;3/23/14;A;FC Barcelona;Real Madrid;03:04;CF;65;03:03;Penalty;
13/14;LaLiga;29;3/23/14;A;FC Barcelona;Real Madrid;03:04;CF;84;03:04;Penalty;
13/14;LaLiga;30;3/26/14;H;FC Barcelona;Celta de Vigo;03:00;CF;30;02:00;Right-footed shot;Andres Iniesta
13/14;LaLiga;31;3/29/14;A;FC Barcelona;RCD Espanyol Barcelona;00:01;CF;77;00:01;Penalty;
